datetime,open,high,low,close,volume,volume
2025-07-24 02:45:00+00:00,1125.17,1131.48,1125.17,1128.67,448,0
2025-07-24 03:00:00+00:00,1129.07,1134.68,1127.7,1130.58,446,0
2025-07-24 03:15:00+00:00,1130.75,1134.62,1126.86,1129.15,444,0
2025-07-24 03:30:00+00:00,1128.96,1129.54,1119.97,1122.33,444,0
2025-07-24 03:45:00+00:00,1122.43,1126.95,1121.89,1123.7,445,0
2025-07-24 04:00:00+00:00,1124.03,1127.26,1119.56,1125.71,443,0
2025-07-24 04:15:00+00:00,1125.86,1127.29,1108.24,1110.64,446,0
2025-07-24 04:30:00+00:00,1110.3,1120.02,1110.1,1111.48,443,0
2025-07-24 04:45:00+00:00,1111.57,1111.87,1098.8,1099.21,445,0
2025-07-24 05:00:00+00:00,1099.79,1100.67,1094.16,1098.75,447,0
2025-07-24 05:15:00+00:00,1098.89,1099.81,1090.23,1096.72,444,0
2025-07-24 05:30:00+00:00,1097.19,1097.58,1091.65,1095.11,446,0
2025-07-24 05:45:00+00:00,1095.04,1096.02,1085.04,1086.31,440,0
2025-07-24 06:00:00+00:00,1086.67,1093.11,1082.76,1082.76,448,0
2025-07-24 06:15:00+00:00,1082.25,1084.78,1074.92,1084.78,440,0
2025-07-24 06:30:00+00:00,1084.71,1085.71,1074.28,1074.35,442,0
2025-07-24 06:45:00+00:00,1074.38,1079.73,1073.96,1077.03,448,0
2025-07-24 07:00:00+00:00,1076.83,1088.74,1076.56,1086.63,446,0
2025-07-24 07:15:00+00:00,1086.52,1090.89,1082.56,1089.85,446,0
2025-07-24 07:30:00+00:00,1089.91,1093.99,1087.78,1088.0,445,0
2025-07-24 07:45:00+00:00,1088.67,1091.05,1080.79,1080.86,441,0
2025-07-24 08:00:00+00:00,1080.73,1081.86,1073.78,1078.35,437,0
2025-07-24 08:15:00+00:00,1077.89,1084.25,1077.22,1082.73,444,0
2025-07-24 08:30:00+00:00,1082.43,1086.05,1077.8,1084.82,447,0
2025-07-24 08:45:00+00:00,1084.61,1085.05,1081.12,1083.28,442,0
2025-07-24 09:00:00+00:00,1083.75,1089.53,1078.05,1089.5,444,0
2025-07-24 09:15:00+00:00,1089.5,1089.92,1081.67,1082.87,442,0
2025-07-24 09:30:00+00:00,1082.94,1100.79,1082.2,1099.93,443,0
2025-07-24 09:45:00+00:00,1100.09,1100.63,1086.96,1088.0,439,0
2025-07-24 10:00:00+00:00,1088.06,1088.33,1078.67,1079.38,443,0
2025-07-24 10:15:00+00:00,1079.29,1079.98,1071.49,1072.37,445,0
2025-07-24 10:30:00+00:00,1072.31,1074.4,1062.01,1063.03,442,0
2025-07-24 10:45:00+00:00,1062.52,1063.16,1055.06,1056.03,441,0
2025-07-24 11:00:00+00:00,1055.7,1063.53,1055.65,1060.51,445,0
2025-07-24 11:15:00+00:00,1060.24,1062.03,1051.5,1053.55,442,0
2025-07-24 11:30:00+00:00,1053.87,1055.84,1050.25,1051.86,446,0
2025-07-24 11:45:00+00:00,1051.37,1051.86,1046.6,1048.3,440,0
2025-07-24 12:00:00+00:00,1048.27,1051.05,1042.23,1047.14,440,0
2025-07-24 12:15:00+00:00,1047.88,1054.74,1045.84,1052.59,446,0
2025-07-24 12:30:00+00:00,1052.42,1057.73,1051.18,1053.2,442,0
2025-07-24 12:45:00+00:00,1053.06,1053.27,1047.3,1048.56,445,0
2025-07-24 13:00:00+00:00,1048.54,1060.36,1047.11,1058.34,442,0
2025-07-24 13:15:00+00:00,1059.07,1061.49,1054.64,1061.1,440,0
2025-07-24 13:30:00+00:00,1061.12,1067.33,1057.83,1057.92,444,0
2025-07-24 13:45:00+00:00,1058.67,1059.31,1046.12,1046.36,443,0
2025-07-24 14:00:00+00:00,1046.7,1052.99,1045.72,1047.98,448,0
2025-07-24 14:15:00+00:00,1047.77,1061.67,1046.2,1061.02,445,0
2025-07-24 14:30:00+00:00,1060.69,1066.08,1056.96,1062.46,439,0
2025-07-24 14:45:00+00:00,1062.58,1068.69,1056.39,1056.83,443,0
2025-07-24 15:00:00+00:00,1056.97,1058.61,1047.34,1049.71,444,0
2025-07-24 15:15:00+00:00,1049.9,1054.03,1045.68,1052.29,442,0
2025-07-24 15:30:00+00:00,1052.75,1061.03,1051.55,1057.03,442,0
2025-07-24 15:45:00+00:00,1057.14,1059.83,1054.33,1054.58,439,0
2025-07-24 16:00:00+00:00,1054.79,1060.6,1051.76,1057.59,443,0
